waypoints 
0, 432 2
775, 550 3
775, 844 2
2200, 844 0
tower stands
750, 465
1500, 465
690, 820
1180, 780
1180, 910
1180, 1220
hero stand
1700, 350
holy land
775, 550
wave1
50100, 500
50100, 1000
50100, 1500
50100, 2000
wave2
50100, 500
50100, 500
50100, 1000
50100, 1000
50000, 1500
wave3
50100, 500
50100, 500
50100, 1000
50100, 1000
50100, 1500
50100, 1500
50100, 2000
50100, 2000
50000, 3000
50000, 3000
wave4
50200, 500
50200, 500
50200, 1000
50200, 1000
50200, 1500
50200, 1500
50200, 2000
50200, 2000
50200, 3000
50200, 3000
50200, 4000
wave5
50200, 500
50200, 500
50200, 1000
50200, 1000
50200, 1500
50200, 1500
50200, 2000
50200, 2000
